target,model,feature,importance
Flower_rat,PLSRegression,0510_r1_RVI_mean,22.686176191447018
Flower_rat,PLSRegression,0510_r1_ND_B2_B3_mean,16.11068561681441
Flower_rat,PLSRegression,0510_r1_EVI_mean,13.700449014784773
Flower_rat,PLSRegression,0510_r1_ND_B3_B5_mean,9.710578578648699
Flower_rat,PLSRegression,0510_r1_RENDVI2_mean,9.710578578648699
Flower_rat,PLSRegression,rel_r0p5_B6_p25,6.286639819976669
Flower_rat,PLSRegression,ratio_r0p5_B6_p25,6.286639819976468
Flower_rat,PLSRegression,ratio_r1_SAVI_mean,5.8967350430784
Flower_rat,PLSRegression,diff_r1_EVI_mean,3.9099077316562894
Flower_rat,PLSRegression,ratio_r0p5_DVI_mean,3.5377043331991045
Flower_rat,PLSRegression,rel_r0p5_DVI_mean,3.5377043331989846
Flower_rat,PLSRegression,ratio_r1_RENDVI1_mean,3.3987249431436535
Flower_rat,PLSRegression,rel_r1_RENDVI1_mean,3.39872494314364
Flower_rat,PLSRegression,0510_r1_DVI_mean,3.045415189676947
Flower_rat,PLSRegression,0510_r1_SAVI_mean,2.6468750811553377
Flower_rat,PLSRegression,0510_r1_ND_B3_B6_mean,2.6466671025175694
Flower_rat,PLSRegression,0510_r1_NDVI_mean,2.6466671025175694
Flower_rat,PLSRegression,rel_r1_EVI_mean,2.0302183758658576
Flower_rat,PLSRegression,ratio_r1_EVI_mean,2.030218375865644
Flower_rat,PLSRegression,diff_r1_ND_B3_B4_mean,1.1703235083453567
Flower_rat,PLSRegression,diff_r1_RENDVI1_mean,1.1703235083453567
Flower_rat,PLSRegression,0510_r1_ND_B3_B4_mean,0.8740060753090207
Flower_rat,PLSRegression,0510_r1_RENDVI1_mean,0.8740060753090207
Flower_rat,PLSRegression,rel_r1_DVI_mean,0.5136579120029744
Flower_rat,PLSRegression,ratio_r1_DVI_mean,0.5136579120029708
Flower_rat,RandomForest,rel_r0p5_B6_p25,0.10175421050187373
Flower_rat,RandomForest,ratio_r0p5_B6_p25,0.095106563713097
Flower_rat,RandomForest,ratio_r1_DVI_mean,0.07869607469373599
Flower_rat,RandomForest,ratio_r0p5_DVI_mean,0.06938484974649374
Flower_rat,RandomForest,rel_r1_EVI_mean,0.06568865496801882
Flower_rat,RandomForest,0510_r1_ND_B2_B3_mean,0.059390600457940486
Flower_rat,RandomForest,rel_r0p5_DVI_mean,0.05772431017825597
Flower_rat,RandomForest,ratio_r1_EVI_mean,0.05649882049731822
Flower_rat,RandomForest,rel_r1_DVI_mean,0.053514586234548425
Flower_rat,RandomForest,diff_r1_EVI_mean,0.05281196088102871
Flower_rat,RandomForest,0510_r1_RENDVI1_mean,0.038416545376380264
Flower_rat,RandomForest,0510_r1_ND_B3_B4_mean,0.037754782040107474
Flower_rat,RandomForest,ratio_r1_RENDVI1_mean,0.024277336645518868
Flower_rat,RandomForest,0510_r1_RENDVI2_mean,0.024125514179360125
Flower_rat,RandomForest,0510_r1_EVI_mean,0.022816831798267875
Flower_rat,RandomForest,diff_r1_ND_B3_B4_mean,0.02089810328189561
Flower_rat,RandomForest,rel_r1_RENDVI1_mean,0.01920592348034369
Flower_rat,RandomForest,diff_r1_RENDVI1_mean,0.01896013431403841
Flower_rat,RandomForest,0510_r1_ND_B3_B6_mean,0.018697339895996826
Flower_rat,RandomForest,0510_r1_SAVI_mean,0.018175531895348155
Flower_rat,RandomForest,0510_r1_ND_B3_B5_mean,0.01765349066915695
Flower_rat,RandomForest,0510_r1_NDVI_mean,0.015592741316811466
Flower_rat,RandomForest,0510_r1_DVI_mean,0.013568338892758262
Flower_rat,RandomForest,0510_r1_RVI_mean,0.01173976612754185
Flower_rat,RandomForest,ratio_r1_SAVI_mean,0.007546988214163046
FHB_num,LinearRegression,diff_r1_CI_RE2_median,225.37181654370858
FHB_num,LinearRegression,diff_r1_ND_B5_B6_median,132.81806511361313
FHB_num,LinearRegression,diff_r1_NDRE2_median,132.81806511361012
FHB_num,LinearRegression,diff_r1_CI_RE2_mean,123.7827674527898
FHB_num,LinearRegression,diff_r1_ND_B5_B6_mean,63.92637016378372
FHB_num,LinearRegression,diff_r1_NDRE2_mean,63.926370163781634
FHB_num,LinearRegression,rel_r1_NDRE2_mean,63.72867463666916
FHB_num,LinearRegression,ratio_r1_NDRE2_mean,63.72867463662719
FHB_num,LinearRegression,ratio_r1_NDRE2_median,62.92591673092399
FHB_num,LinearRegression,rel_r1_NDRE2_median,62.92591673091159
FHB_num,LinearRegression,ratio_r1_CI_RE2_mean,61.34977121178116
FHB_num,LinearRegression,rel_r1_CI_RE2_mean,61.34977121177603
FHB_num,LinearRegression,0418_r1_ND_B2_B3_median,47.05606197250994
FHB_num,LinearRegression,0418_r1_ND_B1_B4_median,45.47968643975545
FHB_num,LinearRegression,ratio_r1_CI_RE2_median,41.507822601854365
