target,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r
FHB_num,0418_r1_ND_B1_B4_median,63,0.3039039030008007,0.015459508293456636,0.6111736405288225,1.0371052022862243e-07,0.3039039030008007,0.6111736405288225
FHB_num,diff_r1_CI_RE2_median,63,-0.4648326617968932,0.00012400557655734253,-0.603209970384991,1.674952938179285e-07,0.4648326617968932,0.603209970384991
FHB_num,0418_r1_ND_B1_B2_median,63,0.3969262500415362,0.0012781697313515785,0.5952716622479871,2.666505327133944e-07,0.3969262500415362,0.5952716622479871
FHB_num,diff_r1_ND_B5_B6_median,63,0.47280580769570935,9.119764366000042e-05,0.5936738558178553,2.923705916650534e-07,0.47280580769570935,0.5936738558178553
FHB_num,diff_r1_NDRE2_median,63,-0.47280580769570935,9.119764366000042e-05,-0.5936738558178553,2.923705916650534e-07,0.47280580769570935,0.5936738558178553
FHB_num,diff_r1_ND_B5_B6_mean,63,0.45977567038010025,0.00015010704552249722,0.5889565225479424,3.82605126620536e-07,0.45977567038010025,0.5889565225479424
FHB_num,diff_r1_NDRE2_mean,63,-0.45977567038010025,0.00015010704552249722,-0.5889565225479424,3.82605126620536e-07,0.45977567038010025,0.5889565225479424
FHB_num,diff_r1_CI_RE2_mean,63,-0.45074562566685417,0.0002095857348317546,-0.5884239204045651,3.9429702959400356e-07,0.45074562566685417,0.5884239204045651
FHB_num,ratio_r1_CI_RE2_mean,63,-0.44953026126081447,0.00021906159968075814,-0.5847210674077518,4.853628323373291e-07,0.44953026126081447,0.5847210674077518
FHB_num,rel_r1_CI_RE2_mean,63,-0.44953026126081447,0.00021906159968075814,-0.5847210674077518,4.853628323373291e-07,0.44953026126081447,0.5847210674077518
FHB_num,0418_r1_ND_B3_B4_median,63,0.3625084937377874,0.003503446752977197,0.5800798201583213,6.274965856804952e-07,0.3625084937377874,0.5800798201583213
FHB_num,0418_r1_RENDVI1_median,63,-0.3625084937377874,0.003503446752977197,-0.5800798201583213,6.274965856804952e-07,0.3625084937377874,0.5800798201583213
FHB_num,ratio_r1_NDRE2_mean,63,-0.4496118835498428,0.0002184131346199005,-0.5772899994072975,7.308608355759789e-07,0.4496118835498428,0.5772899994072975
FHB_num,rel_r1_NDRE2_mean,63,-0.4496118835498426,0.00021841313461990226,-0.5772899994072975,7.308608355759789e-07,0.4496118835498426,0.5772899994072975
FHB_num,0418_r0p5_ND_B1_B4_median,63,0.3669457031720853,0.003094841302926084,0.5519026305729814,2.7498239811612153e-06,0.3669457031720853,0.5519026305729814
FHB_num,0418_r1_ND_B2_B3_median,63,-0.41483108475870734,0.0007238554691458965,-0.5512432183954666,2.842014584835485e-06,0.41483108475870734,0.5512432183954666
FHB_num,ratio_r1_CI_RE2_median,63,-0.4623256603273597,0.0001363735734653321,-0.5510910463545017,2.8636959509456264e-06,0.4623256603273597,0.5510910463545017
FHB_num,rel_r1_CI_RE2_median,63,-0.46232566032735956,0.00013637357346533326,-0.5510910463545017,2.8636959509456264e-06,0.46232566032735956,0.5510910463545017
FHB_num,0418_r1_ND_B1_B4_mean,63,0.12175738892221387,0.3418024978106674,0.5479715195147207,3.3437421549395117e-06,0.12175738892221387,0.5479715195147207
FHB_num,ratio_r1_NDRE2_median,63,-0.4636468286516526,0.00012972123105605616,-0.5462469030504513,3.6404302139468068e-06,0.4636468286516526,0.5462469030504513
FHB_num,rel_r1_NDRE2_median,63,-0.4636468286516525,0.00012972123105605728,-0.5462469030504513,3.6404302139468068e-06,0.4636468286516525,0.5462469030504513
FHB_num,0418_r0p5_ND_B1_B4_mean,63,0.2222006642542862,0.08006668911845312,0.5406165375347489,4.789267023140676e-06,0.2222006642542862,0.5406165375347489
FHB_num,0418_r1_ND_B2_B3_mean,63,-0.27101182002827373,0.031682217657354385,-0.5356963082102161,6.0619897287320336e-06,0.27101182002827373,0.5356963082102161
FHB_num,0510_r1_ND_B5_B6_mean,63,0.42099437405635487,0.0005908129914545998,0.5340985017800843,6.5389279256132795e-06,0.42099437405635487,0.5340985017800843
FHB_num,0510_r1_NDRE2_mean,63,-0.42099437405635487,0.0005908129914545998,-0.5340985017800843,6.5389279256132795e-06,0.42099437405635487,0.5340985017800843
FHB_num,0510_r1_CI_RE2_mean,63,-0.42070546268572634,0.0005965159630776909,-0.5340985017800843,6.5389279256132795e-06,0.42070546268572634,0.5340985017800843
FHB_num,rel_r0p5_CI_RE2_mean,63,-0.43113929255926214,0.00041935004860831245,-0.5330840215069849,6.859667869267659e-06,0.43113929255926214,0.5330840215069849
FHB_num,ratio_r0p5_CI_RE2_mean,63,-0.4311392925592621,0.00041935004860831245,-0.5330840215069849,6.859667869267659e-06,0.4311392925592621,0.5330840215069849
FHB_num,rel_r0p5_NDRE2_mean,63,-0.4323446525294043,0.000402325726074537,-0.5321456272543678,7.169355245032645e-06,0.4323446525294043,0.5321456272543678
FHB_rate,0418_r1_ND_B1_B2_mean,62,0.27948549760106733,0.02781202093675291,0.6122086852425217,1.2408725726370811e-07,0.27948549760106733,0.6122086852425217
FHB_rate,diff_r1_CI_RE2_median,62,-0.5194005520132702,1.5203196049572459e-05,-0.6109400780550047,1.3392304991572906e-07,0.5194005520132702,0.6109400780550047
FHB_rate,diff_r1_ND_B5_B6_median,62,0.528754415275839,9.973139564232252e-06,0.6067378167463551,1.7201277602959374e-07,0.528754415275839,0.6067378167463551
FHB_rate,diff_r1_NDRE2_median,62,-0.528754415275839,9.973139564232252e-06,-0.6067378167463551,1.7201277602959374e-07,0.528754415275839,0.6067378167463551
FHB_rate,ratio_r1_CI_RE2_mean,62,-0.4997854754164413,3.538561062894645e-05,-0.5966418178790333,3.09320365847981e-07,0.4997854754164413,0.5966418178790333
