target,scale,feature,feature_type,date_type,statistic,n,pearson_r,pearson_p,spearman_r,spearman_p,fdr_q_within_scale,fdr_q_global,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_top1_frequency,bootstrap_top5_frequency,bootstrap_top10_frequency,max_stat_permutation_p,stability_status
Flower_rat,one_sqft,rel_r0p172_DVI_mean,predefined_index,rel,mean,33,-0.5393105559381108,0.001200832902353594,-0.5609531430300555,0.0006840896791508067,0.012341712739816393,0.008326530812249027,-0.7741996672344841,-0.2581577049963023,0.004,0.091,0.2135,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,diff_r0p172_DVI_median,predefined_index,diff,median,33,-0.5270514648523118,0.0016248722014962091,-0.5602815439363351,0.0006965420942112946,0.012341712739816393,0.008385468050311455,-0.7497608455172078,-0.29609650697842427,0.0215,0.099,0.2085,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,diff_r0p172_ND_B3_B5_median,pairwise_nd,diff,median,33,0.511165190176473,0.0023653039823731486,0.5586025462020338,0.0007285525413189768,0.012341712739816393,0.008439277584219215,0.21823868471393906,0.7983792770100461,0.0,0.0205,0.094,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,diff_r0p172_RENDVI2_median,predefined_index,diff,median,33,-0.511165190176473,0.0023653039823731486,-0.5586025462020338,0.0007285525413189768,0.012341712739816393,0.008439277584219215,-0.7983792770100461,-0.21823868471393926,0.003,0.027,0.089,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,ratio_r0p172_EVI_median,predefined_index,ratio,median,33,-0.5248979655330973,0.001711539151763174,-0.5580988468817434,0.0007384054065387915,0.012341712739816393,0.008439277584219215,-0.8024604472405809,-0.2198413198757665,0.0025,0.0625,0.175,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,rel_r0p172_EVI_median,predefined_index,rel,median,33,-0.5248979655330972,0.001711539151763174,-0.5580988468817434,0.0007384054065387915,0.012341712739816393,0.008439277584219215,-0.8024604472405809,-0.2198413198757665,0.0045,0.0645,0.1705,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,rel_r0p172_RENDVI2_median,predefined_index,rel,median,33,-0.5131105276840587,0.0022611872423366195,-0.5579309471083133,0.0007417157147974015,0.012341712739816393,0.008439277584219215,-0.7973132357972601,-0.21922205834573677,0.0015,0.0155,0.0775,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,ratio_r0p172_RENDVI2_median,predefined_index,ratio,median,33,-0.5131105276840588,0.0022611872423366195,-0.5579309471083133,0.0007417157147974015,0.012341712739816393,0.008439277584219215,-0.7973132357972601,-0.21922205834573677,0.001,0.013,0.0775,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,diff_r0p172_RENDVI1_median,predefined_index,diff,median,33,-0.4425015066014132,0.009919320270867713,-0.552390254585119,0.0008585655427384685,0.012341712739816393,0.008834457357762558,-0.790177639034536,-0.2113745486269362,0.0245,0.137,0.2205,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,diff_r0p172_ND_B3_B4_median,pairwise_nd,diff,median,33,0.4425015066014132,0.009919320270867713,0.552390254585119,0.0008585655427384685,0.012341712739816393,0.008834457357762558,0.21137454862693614,0.790177639034536,0.0005,0.124,0.2185,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,diff_r0p172_NDVI_median,predefined_index,diff,median,33,-0.504879125740552,0.002730776594455062,-0.5520544550382588,0.000866141493206586,0.012341712739816393,0.008834457357762558,-0.7911822381783441,-0.20946858343348204,0.0005,0.01,0.034,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,diff_r0p172_SAVI_median,predefined_index,diff,median,33,-0.5048858050521814,0.0027303636337409043,-0.5520544550382588,0.000866141493206586,0.012341712739816393,0.008834457357762558,-0.7911822381783441,-0.20946858343348204,0.0,0.0075,0.032,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,diff_r0p172_ND_B3_B6_median,pairwise_nd,diff,median,33,0.504879125740552,0.002730776594455062,0.5520544550382588,0.000866141493206586,0.012341712739816393,0.008834457357762558,0.20946858343348174,0.7911822381783439,0.0005,0.009,0.036,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,0510_r0p172_ND_B1_B3_mean,pairwise_nd,0510,mean,33,-0.5279622332558076,0.001589388927434035,-0.5518865552648287,0.0008699514976303985,0.012341712739816393,0.008834457357762558,-0.7876468248068813,-0.1983612404021546,0.0015,0.101,0.1945,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,rel_r0p172_NDVI_median,predefined_index,rel,median,33,-0.5049713009808229,0.002725082475777308,-0.5468495620619248,0.000991333480849633,0.012341712739816393,0.00893546976365527,-0.7856448538556237,-0.20426840776999458,0.0005,0.004,0.0235,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,rel_r0p172_SAVI_median,predefined_index,rel,median,33,-0.5049770002034909,0.002724730745236732,-0.5468495620619248,0.000991333480849633,0.012341712739816393,0.00893546976365527,-0.7856448538556237,-0.20426840776999458,0.0,0.004,0.02,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,ratio_r0p172_SAVI_median,predefined_index,ratio,median,33,-0.5049770002034911,0.0027247307452367042,-0.5468495620619248,0.000991333480849633,0.012341712739816393,0.00893546976365527,-0.7856448538556237,-0.20426840776999458,0.0,0.0045,0.02,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,ratio_r0p172_NDVI_median,predefined_index,ratio,median,33,-0.5049713009808228,0.002725082475777308,-0.5468495620619248,0.000991333480849633,0.012341712739816393,0.00893546976365527,-0.7856448538556237,-0.20426840776999458,0.0,0.002,0.0245,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,diff_r0p172_EVI_median,predefined_index,diff,median,33,-0.516744086950945,0.0020773583350692315,-0.5436594663667524,0.0010756949466126054,0.012341712739816393,0.009109788504997843,-0.7955641051575038,-0.19315737542142888,0.004,0.0265,0.0925,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,one_sqft,diff_r0p172_ND_B4_B5_median,pairwise_nd,diff,median,33,0.5405585698226503,0.0011636778910575673,0.5433236668198922,0.0010849317046638647,0.012341712739816393,0.009109788504997843,0.19399322202799915,0.7926317913999819,0.017,0.072,0.1385,0.005994005994005994,unstable_or_not_bootstrapped
Flower_rat,point,diff_rpt_ND_B1_B5_mean,pairwise_nd,diff,mean,33,0.4582479182884506,0.007321026289688766,0.5992342913721246,0.00022884337037991674,0.016810024836110226,0.007093024941597355,0.28500545115055886,0.8102382121201085,0.1605,0.392,0.5075,0.014985014985014986,stable_top10
Flower_rat,point,diff_rpt_ND_B1_B5_median,pairwise_nd,diff,median,33,0.4582479182884506,0.007321026289688766,0.5992342913721246,0.00022884337037991674,0.016810024836110226,0.007093024941597355,0.28500545115055886,0.8102382121201085,0.093,0.38,0.5065,0.014985014985014986,stable_top10
Flower_rat,point,diff_rpt_ND_B1_B6_median,pairwise_nd,diff,median,33,0.4695473645110369,0.005836048656039184,0.5888245054194566,0.000312429425837497,0.016810024836110226,0.007670964587010124,0.26929939524706464,0.8056861791577238,0.0385,0.3175,0.446,0.014985014985014986,moderate
Flower_rat,point,diff_rpt_ND_B1_B6_mean,pairwise_nd,diff,mean,33,0.4695473645110369,0.005836048656039184,0.5888245054194566,0.000312429425837497,0.016810024836110226,0.007670964587010124,0.26929939524706464,0.8056861791577238,0.0575,0.3345,0.4465,0.014985014985014986,moderate
Flower_rat,point,0510_rpt_ND_B1_B6_mean,pairwise_nd,0510,mean,33,0.4537971093005865,0.007988599256327592,0.5549087511865709,0.000803581767937571,0.016810024836110226,0.008834457357762558,0.2288494500117601,0.7754698442269423,0.035,0.147,0.2715,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,0510_rpt_ND_B1_B6_median,pairwise_nd,0510,median,33,0.4537971093005865,0.007988599256327592,0.5549087511865709,0.000803581767937571,0.016810024836110226,0.008834457357762558,0.2288494500117601,0.7754698442269423,0.0175,0.1285,0.2705,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,rel_rpt_GNDVI_mean,predefined_index,rel,mean,33,-0.47685094853853077,0.0050202839587675544,-0.5408051702184402,0.001156456872050768,0.016810024836110226,0.009109788504997843,-0.8004878882272763,-0.17145281072925142,0.0005,0.045,0.146,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,point,ratio_rpt_GNDVI_mean,predefined_index,ratio,mean,33,-0.47685094853853094,0.005020283958767531,-0.5408051702184402,0.001156456872050768,0.016810024836110226,0.009109788504997843,-0.8004878882272763,-0.17145281072925142,0.0,0.0485,0.1485,0.014985014985014986,unstable_or_not_bootstrapped
